teamNumber,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,Column1,
4821,taha,63,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,FALSE,FALSE,,,
1111,Prachi,63,TRUE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25,TRUE,FALSE,did not get any cones/cubes,,
888,Aashritha,49,TRUE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,2,0,0,0,1,0,0,0,0,0,2,0,0,0,7,6,13,FALSE,FALSE,can't do high,,
449,Aashritha,50,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,FALSE,0,1,0,1,0,0,0,0,0,0,0,1,0,0,18,13,31,FALSE,FALSE,Robot stopped moving halfway through, not sure what happened but the light was still blinking,
614,Aashritha,51,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,Did not show up,,
1731,Aashritha,52,TRUE,FALSE,FALSE,1,1,FALSE,FALSE,TRUE,4,0,1,1,0,0,0,0,2,0,0,0,2,0,15,14,29,FALSE,FALSE,,,
1446,Aashritha,53,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,TRUE,FALSE,toaster,,
2534,Aashritha,54,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,TRUE,2,0,0,0,0,0,0,0,0,0,2,0,0,0,12,16,28,FALSE,FALSE,,,
611,Shruthika,55,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,TRUE,1,5,0,0,0,0,0,0,0,0,2,1,-1,4,15,25,40,FALSE,FALSE,,,
8622,Shruthika,56,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,15,15,FALSE,FALSE,,,
2377,Shruthika,57,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,15,21,FALSE,FALSE,,,
2534,Shruthika,58,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,6,FALSE,FALSE,,,
888,Rohan M,59,TRUE,FALSE,FALSE,1,0,TRUE,FALSE,FALSE,2,0,0,0,1,0,0,0,0,0,2,0,0,0,7,8,15,FALSE,FALSE,,,
5830,Rohan M,60,TRUE,FALSE,FALSE,1,3,FALSE,FALSE,FALSE,2,2,0,1,0,0,1,2,1,1,0,0,1,1,18,14,32,FALSE,FALSE,,,
611,Akhilesh Tammana,61,TRUE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,9,FALSE,TRUE,stayed in the opposite team's loading area,,
8622,Akhilesh Tammana,62,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,5,5,FALSE,TRUE,may have lost connection,,
1123,Akhilesh Tammana,63,FALSE,TRUE,FALSE,0,3,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,2,0,0,0,0,0,0,20,0,20,FALSE,TRUE,got penalty, disabled,
5549,Jyoti,49,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,It did not engage in the field whatsoever,,
4638,Jyoti,50,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,4,3,0,0,0,0,0,0,0,0,3,1,1,2,0,24,24,TRUE,FALSE,,,
1111,Jyoti,51,FALSE,FALSE,FALSE,2,0,FALSE,TRUE,TRUE,7,1,1,0,0,0,1,0,2,1,1,0,4,0,9,36,45,FALSE,FALSE,,,
1908,Jyoti,52,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,2,0,1,0,0,0,0,0,2,0,0,0,0,0,6,20,26,TRUE,FALSE,,,
5587,Jyoti,53,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,20,20,FALSE,FALSE,,,
1895,Sasha,54,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,3,0,0,0,0,0,0,0,0,2,1,-2,2,0,19,19,TRUE,FALSE,,,
614,Sasha,55,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,TRUE,1,1,0,0,1,0,-1,1,0,0,1,0,0,1,4,5,9,TRUE,FALSE,,,
4638,Sasha,56,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,2,4,0,0,0,0,0,0,0,0,2,1,0,3,3,25,28,TRUE,FALSE,,,
1731,Sasha,57,FALSE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,3,0,0,0,0,0,0,0,2,1,0,0,1,-1,12,25,37,FALSE,FALSE,,,
5587,Sasha,58,FALSE,FALSE,FALSE,2,-1,FALSE,TRUE,TRUE,-1,1,0,0,1,0,1,-1,0,0,0,0,-1,1,4,10,14,FALSE,FALSE,stayed on the platform for majority ,,
2537,Rohit,59,TRUE,FALSE,FALSE,0,1,TRUE,FALSE,FALSE,2,1,0,0,0,1,0,0,0,1,2,0,0,0,7,13,20,FALSE,FALSE,,,
4456,Rohit,60,FALSE,FALSE,TRUE,0,1,FALSE,FALSE,TRUE,2,0,0,1,0,0,0,0,1,0,1,0,0,0,18,18,36,FALSE,FALSE,,,
5549,Rohit,61,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,5,8,FALSE,FALSE,,,
1908,Rohit,62,FALSE,FALSE,TRUE,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,2,0,0,0,0,12,22,34,FALSE,FALSE,,,
888,Rohit,63,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,TRUE,1,2,0,0,0,1,0,0,0,0,1,2,0,0,4,9,13,FALSE,FALSE,,,
5841,Rohit,64,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,10,FALSE,TRUE,Robot stopped working in the middle,,
8622,Callia,49,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,17,17,FALSE,FALSE,,,
6326,Callia,50,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,5,2,0,0,0,0,0,0,3,1,1,0,1,1,0,33,33,FALSE,FALSE,,,
5338,Callia,51,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,FALSE,FALSE,,,
2199,Callia,52,TRUE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,4,0,0,0,0,0,0,0,1,0,2,0,1,0,15,23,38,FALSE,FALSE,Kept dropping things,,
4099,Callia,53,FALSE,TRUE,TRUE,1,0,FALSE,TRUE,TRUE,3,1,0,0,1,0,0,0,1,0,2,0,0,1,16,23,39,FALSE,FALSE,,,
2537,Callia,54,TRUE,FALSE,FALSE,1,1,FALSE,TRUE,TRUE,0,1,0,0,1,0,0,1,0,0,0,1,0,0,10,13,23,FALSE,FALSE,moves slowly and couldn't pick up game pieces,,
5549,Callia,55,TRUE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,3,-1,0,0,0,0,1,0,0,0,2,0,1,-1,6,16,22,FALSE,FALSE,,,
5338,Callia,56,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13,FALSE,FALSE,Arm not wotking,,
8326,Callia,57,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,0,1,0,1,0,-2,2,3,10,13,FALSE,FALSE,,,
2199,Callia,58,FALSE,TRUE,TRUE,1,0,FALSE,TRUE,TRUE,6,-1,0,0,1,0,0,0,2,0,3,0,1,-1,16,29,45,FALSE,FALSE,,,
449,Aedan Mills,59,FALSE,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,0,7,0,1,0,0,0,0,0,2,0,2,0,3,6,32,38,FALSE,FALSE,,,
2914,Aedan Mills,60,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,9,17,FALSE,FALSE,,,
8326,Aedan Mills,61,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,2,2,0,0,0,0,0,0,2,1,0,1,0,0,3,28,31,FALSE,FALSE,,,
5587,Aedan Mills,62,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,Robot did not move during auto and scored no point in teleop. The mechanisms failed and the arm could not move.,,
2377,Aedan Mills,63,TRUE,FALSE,FALSE,1,0,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,11,FALSE,FALSE,Drivetrain began to have issues during teleop.,,
2914,Brian,64,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,16,19,TRUE,FALSE,rammed into other bots,,
